universe,split_id,train_end,validation_end,evaluation_start,evaluation_end,cost_bps,winner_label,winner_score,descriptor_date,avg_pairwise_corr,first_pc_share,cross_sectional_dispersion,trend_persistence,vol_level,vol_of_vol,liquidity_proxy,regime_switch_rate
liquid_us_equity_100,0,2019-01-02,2019-04-03,2019-04-04,2019-07-03,10.0,EW,1.2062611346510732,2019-04-03,0.36737562255703043,0.4227988008345661,0.013498755806507829,-0.10785785028284174,0.016913639912873604,0.006733821677342271,,0.5
liquid_us_equity_100,1,2019-04-03,2019-07-03,2019-07-05,2019-10-02,10.0,MRH_tau126_k5,-0.6447869236472928,2019-07-03,0.3326148839452954,0.3940026794763681,0.01207648776822966,-0.01416244985851651,0.014858720643450913,0.004469448129648681,,0.4838709677419355
liquid_us_equity_100,2,2019-07-03,2019-10-02,2019-10-03,2020-01-02,10.0,MRH_tau21_k5,7.330555499263396,2019-10-02,0.42578663142054934,0.4819191877383689,0.012074057001450039,-0.024537282475711325,0.0161891371822171,0.004392198267242318,,0.5483870967741935
liquid_us_equity_100,3,2019-10-02,2020-01-02,2020-01-03,2020-04-02,10.0,MRH_tau63_k5,-0.46292291676996844,2020-01-02,0.2354743795928215,0.3383194770659056,0.01059452843023401,-0.014711318450782121,0.012056345898445635,0.003818058191142155,,0.45161290322580644
liquid_us_equity_100,4,2020-01-02,2020-04-02,2020-04-03,2020-07-02,10.0,MRH_tau126_k5,3.7075906211778697,2020-04-02,0.7512619183363672,0.764588987289716,0.021168362863551737,-0.340979797516344,0.045862906165446214,0.0145421343110993,,0.5645161290322581
liquid_us_equity_100,5,2020-04-02,2020-07-02,2020-07-06,2020-10-01,10.0,MRH_tau126_k5,1.7616838565574349,2020-07-02,0.49504498855673207,0.5301095675121072,0.02230859931726246,-0.11595428992362108,0.030143814190027002,0.008038057783922694,,0.5
liquid_us_equity_100,6,2020-07-02,2020-10-01,2020-10-02,2020-12-31,10.0,EW,3.285821382835858,2020-10-01,0.2978516317174833,0.34043187944272774,0.01716815205942364,-0.1379116347884187,0.019630621620464122,0.005264698915492148,,0.5806451612903226
liquid_us_equity_100,7,2020-10-01,2020-12-31,2021-01-04,2021-04-05,10.0,MRH_tau63_k5,3.9615451217717466,2020-12-31,0.3097490407992039,0.3701177630003438,0.015877058737927316,-0.04259133374650854,0.021321426745047684,0.009481723129030577,,0.5967741935483871
liquid_us_equity_100,8,2020-12-31,2021-04-05,2021-04-06,2021-07-02,10.0,EW,2.3439181716665796,2021-04-05,0.2859771874436734,0.334079469321197,0.016552572683584402,-0.06502740170575368,0.01957985143156711,0.004888453887186562,,0.46774193548387094
liquid_us_equity_100,9,2021-04-05,2021-07-02,2021-07-06,2021-10-01,10.0,EW,0.02386291766333588,2021-07-02,0.20862860939829103,0.2770637863027722,0.012074279364074876,-0.04007252177410771,0.013912460975754984,0.003944500306238447,,0.5
liquid_us_equity_100,10,2021-07-02,2021-10-01,2021-10-04,2021-12-31,10.0,EW,2.250474796320379,2021-10-01,0.2912926588609265,0.36975781385234424,0.012086793395046098,0.008535322750026973,0.0144605659892883,0.0034531345068047965,,0.532258064516129
liquid_us_equity_100,11,2021-10-01,2021-12-31,2022-01-03,2022-04-01,10.0,MRH_tau21_k5,1.4118065440967442,2021-12-31,0.28073011969441447,0.3353125383684894,0.014148434474473838,-0.06249744174631637,0.016772750273947038,0.00526532462419563,,0.4838709677419355
liquid_us_equity_100,12,2021-12-31,2022-04-01,2022-04-04,2022-07-05,10.0,MRH_tau126_k5,-1.9599161268901275,2022-04-01,0.3497923754055896,0.41520765706813917,0.01738997104425772,0.05235212119369293,0.021234710555573355,0.005012095053524191,,0.3870967741935484
liquid_us_equity_100,13,2022-04-01,2022-07-05,2022-07-06,2022-10-03,10.0,EW,-0.7538744138074639,2022-07-05,0.5265585497566503,0.5681787751992405,0.01708480036689807,0.0012686565177721665,0.02413263036055074,0.004577559419137912,,0.5645161290322581
liquid_us_equity_100,14,2022-07-05,2022-10-03,2022-10-04,2023-01-03,10.0,MRH_tau126_k5,2.813749970149409,2022-10-03,0.4991391951596605,0.5488553148403585,0.014334873545392727,-0.01460087634890796,0.02065594276547903,0.005139614781383623,,0.46774193548387094
liquid_us_equity_100,15,2022-10-03,2023-01-03,2023-01-04,2023-04-04,10.0,EW,1.4316459634220438,2023-01-03,0.5206835949669155,0.5667272494464585,0.014778826095188723,0.004541244178737251,0.021850685342890877,0.0057892995629190555,,0.5161290322580645
liquid_us_equity_100,16,2023-01-03,2023-04-04,2023-04-05,2023-07-06,10.0,MRH_tau126_k5,2.4291293894703756,2023-04-04,0.3620715667686901,0.41163173889989724,0.014254538792092196,-0.04035819272151012,0.018125770030283584,0.005354530202257735,,0.5
liquid_us_equity_100,17,2023-04-04,2023-07-06,2023-07-07,2023-10-04,10.0,MRH_tau63_k5,-0.11919747694516043,2023-07-06,0.25599033768790047,0.3324546049947951,0.013573542332539445,0.055254235107982164,0.015928819477501896,0.004946517309949234,,0.41935483870967744
liquid_us_equity_100,18,2023-07-06,2023-10-04,2023-10-05,2024-01-04,10.0,EW,4.92223487643192,2023-10-04,0.21736065235472818,0.27626830988762224,0.012603465925248579,0.01743582071748201,0.014622286577132682,0.004199175251206239,,0.5161290322580645
liquid_us_equity_100,19,2023-10-04,2024-01-04,2024-01-05,2024-04-05,10.0,MRH_tau21_k5,3.2537715250862207,2024-01-04,0.25671819592424444,0.31628170785628223,0.012567476316858896,0.06621890057727184,0.015450839997889074,0.005510100240003533,,0.3870967741935484
liquid_us_equity_100,20,2024-01-04,2024-04-05,2024-04-08,2024-07-08,10.0,MRH_tau126_k5,2.204138946995719,2024-04-05,0.1763101404135768,0.23025149327026995,0.014277589778544462,0.000395127504387428,0.015387467465207891,0.005175370706947836,,0.45161290322580644
liquid_us_equity_100,21,2024-04-05,2024-07-08,2024-07-09,2024-10-04,10.0,EW,1.7944560467698474,2024-07-08,0.18094654998052845,0.2553910840878061,0.013836169819392943,0.019732111425624848,0.015196689589278022,0.005023909847453632,,0.4032258064516129
