universe,controller,split_id,cost_bps,train_end,validation_end,evaluation_start,evaluation_end,ann_return,ann_vol,sharpe,max_dd,calmar
liquid_us_equity_100,EW,0,0.0,2019-01-02,2019-04-03,2019-04-04,2019-07-03,0.17177332299590065,0.14240144033520655,1.2062611346510803,-0.07914242765355739,2.1704328270755178
liquid_us_equity_100,EW,0,10.0,2019-01-02,2019-04-03,2019-04-04,2019-07-03,0.17177332299589976,0.14240144033520666,1.2062611346510732,-0.07914242765355761,2.1704328270755004
liquid_us_equity_100,EW,1,0.0,2019-04-03,2019-07-03,2019-07-05,2019-10-02,-0.11361325872539707,0.17354530899248743,-0.6546604998102288,-0.0677636623715474,-1.6766103653132
liquid_us_equity_100,EW,1,10.0,2019-04-03,2019-07-03,2019-07-05,2019-10-02,-0.11361325872539751,0.17354530899248752,-0.654660499810231,-0.06776366237154752,-1.6766103653132038
liquid_us_equity_100,EW,2,0.0,2019-07-03,2019-10-02,2019-10-03,2020-01-02,0.7140969453022126,0.09806446821779007,7.281913197234724,-0.021525857377214463,33.17391417936849
liquid_us_equity_100,EW,2,10.0,2019-07-03,2019-10-02,2019-10-03,2020-01-02,0.7140969453022121,0.09806446821779012,7.281913197234715,-0.021525857377214463,33.17391417936847
liquid_us_equity_100,EW,3,0.0,2019-10-02,2020-01-02,2020-01-03,2020-04-02,-0.9789785907583974,0.6410230362142773,-1.5272128074187077,-0.3724814752514667,-2.6282611506917197
liquid_us_equity_100,EW,3,10.0,2019-10-02,2020-01-02,2020-01-03,2020-04-02,-0.9789785907583992,0.6410230362142773,-1.5272128074187103,-0.3724814752514668,-2.6282611506917237
liquid_us_equity_100,EW,4,0.0,2020-01-02,2020-04-02,2020-04-03,2020-07-02,1.0576192041163575,0.35557472720977157,2.9743936314389408,-0.08973722017688823,11.78573619753112
liquid_us_equity_100,EW,4,10.0,2020-01-02,2020-04-02,2020-04-03,2020-07-02,1.0576192041163566,0.3555747272097717,2.974393631438937,-0.08973722017688834,11.785736197531095
liquid_us_equity_100,EW,5,0.0,2020-04-02,2020-07-02,2020-07-06,2020-10-01,0.29701081714499944,0.1741643747331377,1.705347707293108,-0.09541563578643197,3.1128107536450678
liquid_us_equity_100,EW,5,10.0,2020-04-02,2020-07-02,2020-07-06,2020-10-01,0.29701081714499944,0.1741643747331375,1.7053477072931098,-0.09541563578643164,3.1128107536450784
liquid_us_equity_100,EW,6,0.0,2020-07-02,2020-10-01,2020-10-02,2020-12-31,0.6751322792536802,0.20546834431630503,3.2858213828358522,-0.08938354636965784,7.553205334391471
liquid_us_equity_100,EW,6,10.0,2020-07-02,2020-10-01,2020-10-02,2020-12-31,0.6751322792536811,0.20546834431630492,3.285821382835858,-0.0893835463696574,7.553205334391518
liquid_us_equity_100,EW,7,0.0,2020-10-01,2020-12-31,2021-01-04,2021-04-05,0.5159753959432978,0.18077619592544006,2.8542220025099665,-0.05048115076671067,10.221149638952602
liquid_us_equity_100,EW,7,10.0,2020-10-01,2020-12-31,2021-01-04,2021-04-05,0.515975395943296,0.18077619592544017,2.854222002509955,-0.05048115076671045,10.221149638952612
liquid_us_equity_100,EW,8,0.0,2020-12-31,2021-04-05,2021-04-06,2021-07-02,0.26112594876657624,0.11140574441579766,2.3439181716665938,-0.03599471682990085,7.254563218077717
liquid_us_equity_100,EW,8,10.0,2020-12-31,2021-04-05,2021-04-06,2021-07-02,0.2611259487665749,0.11140574441579779,2.3439181716665796,-0.03599471682990085,7.2545632180776805
liquid_us_equity_100,EW,9,0.0,2021-04-05,2021-07-02,2021-07-06,2021-10-01,0.0032154957249614924,0.13474864097941028,0.023862917663332577,-0.046470872182980516,0.06919378900897714
liquid_us_equity_100,EW,9,10.0,2021-04-05,2021-07-02,2021-07-06,2021-10-01,0.0032154957249619365,0.13474864097941022,0.02386291766333588,-0.046470872182980294,0.06919378900898703
liquid_us_equity_100,EW,10,0.0,2021-07-02,2021-10-01,2021-10-04,2021-12-31,0.33836101710767785,0.15035094712398506,2.2504747963203857,-0.05926701518259647,5.70909495036165
liquid_us_equity_100,EW,10,10.0,2021-07-02,2021-10-01,2021-10-04,2021-12-31,0.33836101710767696,0.1503509471239851,2.250474796320379,-0.05926701518259647,5.709094950361635
liquid_us_equity_100,EW,11,0.0,2021-10-01,2021-12-31,2022-01-03,2022-04-01,-0.09094470988270409,0.21790313807366712,-0.4173630113190054,-0.1173572382765089,-0.7749390767670554
liquid_us_equity_100,EW,11,10.0,2021-10-01,2021-12-31,2022-01-03,2022-04-01,-0.09094470988270276,0.21790313807366704,-0.41736301131899944,-0.11735723827650868,-0.7749390767670455
liquid_us_equity_100,EW,12,0.0,2021-12-31,2022-04-01,2022-04-04,2022-07-05,-0.6561578936523453,0.29220383102440006,-2.2455485657041514,-0.1820981476429553,-3.603319979593029
liquid_us_equity_100,EW,12,10.0,2021-12-31,2022-04-01,2022-04-04,2022-07-05,-0.6561578936523453,0.2922038310244,-2.245548565704152,-0.18209814764295518,-3.603319979593031
liquid_us_equity_100,EW,13,0.0,2022-04-01,2022-07-05,2022-07-06,2022-10-03,-0.1825940306081013,0.2422074914111361,-0.7538744138074674,-0.19373629787587832,-0.942487456450427
liquid_us_equity_100,EW,13,10.0,2022-04-01,2022-07-05,2022-07-06,2022-10-03,-0.18259403060810042,0.24220749141113607,-0.7538744138074639,-0.1937362978758782,-0.942487456450423
liquid_us_equity_100,EW,14,0.0,2022-07-05,2022-10-03,2022-10-04,2023-01-03,0.4635948936775409,0.26349877766015,1.7593815720606771,-0.06751635553004576,6.866408739499691
liquid_us_equity_100,EW,14,10.0,2022-07-05,2022-10-03,2022-10-04,2023-01-03,0.4635948936775409,0.26349877766015006,1.759381572060677,-0.06751635553004554,6.866408739499714
liquid_us_equity_100,EW,15,0.0,2022-10-03,2023-01-03,2023-01-04,2023-04-04,0.26046840995464704,0.18193632825997036,1.4316459634220489,-0.09418389477735156,2.7655302487503035
liquid_us_equity_100,EW,15,10.0,2022-10-03,2023-01-03,2023-01-04,2023-04-04,0.26046840995464615,0.1819363282599704,1.4316459634220438,-0.09418389477735167,2.765530248750291
liquid_us_equity_100,EW,16,0.0,2023-01-03,2023-04-04,2023-04-05,2023-07-06,0.27488866683311874,0.13735322032596223,2.0013266975376367,-0.04935058803167525,5.5701193803630815
liquid_us_equity_100,EW,16,10.0,2023-01-03,2023-04-04,2023-04-05,2023-07-06,0.27488866683311874,0.13735322032596223,2.0013266975376367,-0.04935058803167525,5.5701193803630815
liquid_us_equity_100,EW,17,0.0,2023-04-04,2023-07-06,2023-07-07,2023-10-04,-0.07976698654838721,0.12012505917578514,-0.6640328595467834,-0.08639776024871704,-0.9232529444957278
liquid_us_equity_100,EW,17,10.0,2023-04-04,2023-07-06,2023-07-07,2023-10-04,-0.0797669865483841,0.12012505917578468,-0.66403285954676,-0.08639776024871626,-0.9232529444957002
liquid_us_equity_100,EW,18,0.0,2023-07-06,2023-10-04,2023-10-05,2024-01-04,0.6608964157553969,0.13426754966832247,4.922234876431941,-0.057025107737645464,11.589568910319
liquid_us_equity_100,EW,18,10.0,2023-07-06,2023-10-04,2023-10-05,2024-01-04,0.6608964157553952,0.13426754966832266,4.92223487643192,-0.057025107737645464,11.58956891031897
liquid_us_equity_100,EW,19,0.0,2023-10-04,2024-01-04,2024-01-05,2024-04-05,0.3060875123119149,0.11188476566037436,2.7357389587632173,-0.03085559140994465,9.920001475108462
liquid_us_equity_100,EW,19,10.0,2023-10-04,2024-01-04,2024-01-05,2024-04-05,0.306087512311914,0.11188476566037446,2.735738958763207,-0.03085559140994487,9.92000147510836
liquid_us_equity_100,EW,20,0.0,2024-01-04,2024-04-05,2024-04-08,2024-07-08,0.1650689829849039,0.1070542073022488,1.5419196231804195,-0.04400833031035167,3.7508576630167085
