winner_label,observations,cost_bps_mean,avg_pairwise_corr_mean,first_pc_share_mean,cross_sectional_dispersion_mean,trend_persistence_mean,vol_level_mean,vol_of_vol_mean,liquidity_proxy_mean,regime_switch_rate_mean,universe
EW,9,10.0,0.3218527841151363,0.3789663520416371,0.0144093128350405,-0.0332618058846087,0.0178110479777556,0.0048749503748645,,0.5089605734767024,liquid_us_equity_100
MRH_tau126_k5,7,10.0,0.4237478669408445,0.4706639197652651,0.0165443461584758,-0.0676154796672599,0.023752761687924,0.0068187501383977,,0.4792626728110599,liquid_us_equity_100
MRH_tau21_k5,3,10.0,0.3210783156797361,0.3778378113210468,0.0129299892642609,-0.0069386078815852,0.0161375758180177,0.0050558743771471,,0.4731182795698925,liquid_us_equity_100
MRH_tau63_k5,3,10.0,0.2670712526933086,0.3469639483536815,0.0133483765002335,-0.0006828056964361,0.0164355307069984,0.0060820995433739,,0.489247311827957,liquid_us_equity_100
EW,6,10.0,0.4003224801289478,0.4387033583132222,0.0155324134207779,-0.0021110942512089,0.0199500779757355,0.0051182195156698,,0.510752688172043,liquid_us_equity_250
MRH_tau126_k5,1,10.0,0.3551347825530893,0.4003794863137567,0.0170590192789336,0.0112727398030239,0.0204591758428072,0.0054752842236157,,0.4032258064516129,liquid_us_equity_250
MRH_tau21_k5,3,10.0,0.2282742647064364,0.2709646790011973,0.0141822827864422,0.0088461862670103,0.0159567653192005,0.0051558894719742,,0.456989247311828,liquid_us_equity_250
MRH_tau63_k5,1,10.0,0.1981587822198666,0.2536744170148441,0.0163495275170323,-0.0418604275750698,0.0184852548122208,0.0068876175480392,,0.5,liquid_us_equity_250
EW,4,10.0,0.3116726074841456,0.3439494139791683,0.0163133128285209,-0.0156163796061678,0.018979238456577,0.005647557875078,,0.5120967741935484,liquid_us_equity_500
MRH_tau126_k5,1,10.0,0.2566130245553933,0.2994593991251233,0.0147388176043623,0.0103089535598921,0.017045107257619,0.0061453730410817,,0.4354838709677419,liquid_us_equity_500
MRH_tau21_k5,3,10.0,0.2794683646075683,0.3305852902278008,0.0157049044994691,-0.027862130393082,0.0183856543919482,0.0053050051085234,,0.4838709677419355,liquid_us_equity_500
MRH_tau63_k5,1,10.0,0.5070642755495547,0.5334214540572261,0.0163258835356394,0.0808846625080581,0.0217585462895658,0.0048426681714529,,0.4677419354838709,liquid_us_equity_500
