,avg_pairwise_corr,first_pc_share,cross_sectional_dispersion,trend_persistence,vol_level,vol_of_vol,liquidity_proxy,regime_switch_rate
2021-01-01,,,,,,,,
2021-01-04,,,,,,,,
2021-01-05,,,,,,,,
2021-01-06,,,,,,,,
2021-01-07,,,,,,,,
2021-01-08,,,,,,,,
2021-01-11,,,,,,,,
2021-01-12,,,,,,,,
2021-01-13,,,,,,,,
2021-01-14,,,,,,,,
2021-01-15,,,,,,,,
2021-01-18,,,,,,,,
2021-01-19,,,,,,,,
2021-01-20,,,,,,,,
2021-01-21,0.027147762103087687,0.42973106642803244,0.004838958694520713,-0.14070609027022934,0.005948743147368111,0.0018931238857222744,16.56607051603435,0.8571428571428571
2021-01-22,0.04295296919224131,0.4550400970711505,0.005126874681965716,-0.23545852028437597,0.00624829665516251,0.002059843225827583,16.55061069091818,0.8571428571428571
2021-01-25,0.16764551286791354,0.4050759794276164,0.0048717569958772414,-0.12029049674243901,0.0060589234507290295,0.0019602560751366474,16.580483213658304,0.9285714285714286
2021-01-26,0.22016526488457525,0.4301571212649162,0.0044795110901971365,-0.12560749682103425,0.00562277265692355,0.0017235553801297325,16.533165429043194,0.8571428571428571
2021-01-27,0.359711258940194,0.5287503351580374,0.004551790757655845,-0.10689960355583633,0.006160624044065062,0.0016608211241705513,16.540410980409018,0.7857142857142857
2021-01-28,0.3569837749406198,0.5305909104026945,0.0044867830753147165,-0.04305545003524516,0.006125187688620568,0.0016395905439101847,16.565734703559347,0.7142857142857143
2021-01-29,0.4272774537437409,0.5773370827316652,0.004606088950917131,0.05229757176067596,0.006557736696717728,0.0016580441205489886,16.56784010985707,0.6428571428571429
2021-02-01,0.3435880621981078,0.5204641684802898,0.004821239254474354,0.0270482478011684,0.006794372133565789,0.0018955273900753426,16.57860203971919,0.5714285714285714
2021-02-02,0.32571402032845204,0.5175798749257621,0.004872000234470306,0.06998329995379203,0.006878949838936617,0.0019569747056938807,16.607714177981386,0.5
2021-02-03,0.29797032131794426,0.5373209364775081,0.00511144563547608,-0.028733676018394837,0.0071998038951406424,0.002132481537552529,16.567095999757345,0.5
2021-02-04,0.3004026732644325,0.5351473907042328,0.004906314552727844,-0.018847636279087567,0.0071929923749406415,0.002223435549136547,16.518829234973396,0.5
2021-02-05,0.2564208491301318,0.5108932238640272,0.005107060530456381,-0.003756769976744352,0.007269932220503058,0.002090825578825979,16.47804012440165,0.42857142857142855
2021-02-08,0.29986383483817947,0.5074710977061676,0.005346814658802016,-0.04939065025731153,0.007701215198961308,0.0020318544031615385,16.483322124719383,0.35714285714285715
2021-02-09,0.22168419885964252,0.4702228536342353,0.00543713062030005,-0.15724584932562286,0.007427802962682192,0.0019524304888701412,16.483322124719383,0.2857142857142857
2021-02-10,0.22337289331961754,0.4715954789694642,0.005282919836690056,-0.1761555907370746,0.0073454495430483255,0.0021600735078496462,16.450564656427506,0.2857142857142857
2021-02-11,0.22645806715695596,0.4353851101325373,0.005398014176446548,-0.11501373998211431,0.007302252050552462,0.002259643021629802,16.461656265035593,0.21428571428571427
2021-02-12,0.1593156159384765,0.3934490233424856,0.005376300043286034,-0.07289659595526343,0.006996567079188013,0.002233189094311268,16.44964890556286,0.14285714285714285
2021-02-15,0.13504963318851526,0.39260563681951594,0.005536519153959316,-0.1163409606955553,0.007160224986563157,0.0022054529813546587,16.47390888353105,0.14285714285714285
2021-02-16,0.1088158718422667,0.3953390404749676,0.005550634808540262,-0.05613196917756109,0.007128342054255176,0.0021887977016018015,16.478937837685727,0.14285714285714285
2021-02-17,0.07581215004447807,0.3749683989865957,0.005514587527118481,-0.05177695941635881,0.007001978068118003,0.0022249601800217594,16.45936721743063,0.14285714285714285
2021-02-18,0.18912479081052735,0.417665860958453,0.005525696459227485,-0.11450781181072318,0.007505252469031356,0.0022206313362980357,16.45437147836163,0.21428571428571427
2021-02-19,0.13298965826332443,0.3943490767418811,0.005360356788415322,-0.07561434474326177,0.007077557110718291,0.0022929288173758867,16.47390888353105,0.2857142857142857
2021-02-22,0.22135206006651353,0.43427346672472816,0.005055208060283384,-0.1806890726898987,0.006928352517173939,0.0021849709938886698,16.464362674247024,0.35714285714285715
2021-02-23,0.26013792879712566,0.4938469427734951,0.004967450934838907,-0.08937925863979318,0.006879587169861465,0.0021077116334553446,16.425810967452097,0.2857142857142857
2021-02-24,0.30037136566375316,0.5414826431196886,0.004610738096030071,-0.01927966561502338,0.00654591104167211,0.001963700156473186,16.503745956919268,0.21428571428571427
2021-02-25,0.31453567881521133,0.5717244614354496,0.00477912685334454,0.01427715993756632,0.006914591590216342,0.0018825035231007476,16.50178960605525,0.21428571428571427
