Date,equity
2020-12-11,1000000.0
2020-12-14,996836.880531048
2020-12-15,991611.2460093594
2020-12-16,985546.8560548325
2020-12-17,982220.1266965654
2020-12-18,963054.7899195004
2020-12-21,961298.5863049246
2020-12-22,976707.2233445167
2020-12-23,946004.6298798725
2020-12-24,954319.9614905462
2020-12-28,969124.0825442141
2020-12-29,960470.8871436758
2020-12-30,940744.9996805319
2020-12-31,925450.2781984488
2021-01-04,937033.5886321332
2021-01-05,929777.0128898465
2021-01-06,950714.6947503538
2021-01-07,952562.9994293988
2021-01-08,971367.4677104723
2021-01-11,975698.8368903439
2021-01-12,988410.6308058115
2021-01-13,985341.6081264296
2021-01-14,974492.0704823877
2021-01-15,959066.6963984724
2021-01-19,965161.2108722284
2021-01-20,973594.2409032007
2021-01-21,969122.0045579411
2021-01-22,960060.6050112777
2021-01-25,962828.8951824207
2021-01-26,980747.4795104672
2021-01-27,984792.8921748995
2021-01-28,979872.5418930184
2021-01-29,987989.0182847085
2021-02-01,995699.5343100957
2021-02-02,1003001.6273803137
2021-02-03,1005568.0897015093
2021-02-04,998333.406794482
2021-02-05,1005843.9901503912
2021-02-08,1010607.7527521491
2021-02-09,1008189.6755363106
2021-02-10,1018533.3900448848
2021-02-11,1014071.1778355782
2021-02-12,1025519.9201150286
2021-02-16,1030499.2255178513
2021-02-17,1024408.5564190221
2021-02-18,1019621.3694203012
2021-02-19,1023768.2460559366
2021-02-22,1019398.462548867
2021-02-23,1028584.6580594094
2021-02-24,1027730.6295759312
2021-02-25,1025577.9717879208
2021-02-26,1024097.449741008
2021-03-01,1026004.1036166585
2021-03-02,1017116.5750214568
2021-03-03,1015179.7246593899
2021-03-04,1004693.8868676802
2021-03-05,1000512.0551978665
2021-03-08,996301.5683342085
2021-03-09,998372.9498695208
2021-03-10,988573.74960058
2021-03-11,978278.5282664539
2021-03-12,958614.3160683376
2021-03-15,965590.108125007
2021-03-16,980448.2502497373
2021-03-17,968830.4723601779
2021-03-18,966734.4425147333
2021-03-19,972014.5581852726
2021-03-22,984477.1172338702
2021-03-23,980767.7119401105
2021-03-24,988085.3754885786
2021-03-25,985770.0821781604
2021-03-26,985339.6426265424
2021-03-29,983406.2910951626
2021-03-30,986675.8516050834
2021-03-31,976433.4530722238
2021-04-01,983163.642611319
2021-04-05,977030.5064279992
2021-04-06,989932.2701593413
2021-04-07,990698.180332494
2021-04-08,983540.6235605475
2021-04-09,988804.8869804449
2021-04-12,998854.3659089556
2021-04-13,1004185.573655445
2021-04-14,1011408.84388069
2021-04-15,1012560.7070639026
2021-04-16,1002757.6164935844
2021-04-19,1009848.4761875048
2021-04-20,997375.1105819686
2021-04-21,1008807.4353690834
2021-04-22,1008365.188491795
2021-04-23,1007163.3030994853
2021-04-26,1012804.0937466085
2021-04-27,1016823.6007066648
2021-04-28,1025787.734690822
2021-04-29,1022721.3722503831
2021-04-30,1025776.6881035346
2021-05-03,1030946.2173139676
2021-05-04,1036115.4140159246
2021-05-05,1037393.655470574
2021-05-06,1040964.219311226
2021-05-07,1034561.808428845
2021-05-10,1044642.1159241461
2021-05-11,1043908.2672970545
2021-05-12,1039253.6807213856
2021-05-13,1041688.7651981192
2021-05-14,1038431.336993261
2021-05-17,1033353.0629108632
2021-05-18,1018818.1430030812
2021-05-19,1030660.3820913843
2021-05-20,1035142.8214611902
2021-05-21,1035420.533672051
2021-05-24,1043616.0103653457
2021-05-25,1046687.4771138328
2021-05-26,1049686.7092516052
2021-05-27,1049250.4612969183
2021-05-28,1053535.7797627314
2021-06-01,1048671.7442620804
2021-06-02,1048670.98412388
2021-06-03,1057125.5850993781
2021-06-04,1057415.4645058864
2021-06-07,1068088.5348795203
2021-06-08,1067325.7577390252
2021-06-09,1065778.9738331973
2021-06-10,1063968.7568386986
2021-06-11,1065938.3417114879
2021-06-14,1074487.6734765538
2021-06-15,1079507.653870542
2021-06-16,1082805.05278976
2021-06-17,1077300.878822318
2021-06-18,1066376.853672622
2021-06-21,1070099.2164443894
2021-06-22,1080126.0571897696
2021-06-23,1083213.4401230535
2021-06-24,1088997.564987308
2021-06-25,1087524.9631306122
2021-06-28,1082306.8089176654
2021-06-29,1085842.8736346855
2021-06-30,1095085.4511234171
2021-07-01,1088857.4002872806
2021-07-02,1086763.398316172
2021-07-06,1093115.6632287565
2021-07-07,1093983.2594216382
2021-07-08,1092602.4052637701
2021-07-09,1096254.154839899
2021-07-12,1095125.4856789603
2021-07-13,1087366.5938016218
2021-07-14,1080443.4607642326
2021-07-15,1080863.1835816049
2021-07-16,1089582.8996285526
2021-07-19,1088980.2095116894
2021-07-20,1077325.8732477727
2021-07-21,1060113.4661198736
2021-07-22,1066485.7509875507
2021-07-23,1066791.3334493805
2021-07-26,1076514.0442829467
2021-07-27,1073820.094038759
2021-07-28,1060819.6110697766
2021-07-29,1038872.5201648963
2021-07-30,1041158.8749372124
2021-08-02,1032095.9587649625
2021-08-03,1038668.4907420061
2021-08-04,1025353.8465039211
2021-08-05,1033959.8176960911
2021-08-06,1041466.66509248
2021-08-09,1051251.9144127895
2021-08-10,1050748.242581485
2021-08-11,1042958.2905496377
2021-08-12,1044349.6857981434
2021-08-13,1049253.6905637912
2021-08-16,1063698.6668978052
2021-08-17,1066712.3228951008
2021-08-18,1067225.9322680975
2021-08-19,1080033.0899546363
2021-08-20,1088953.1242420513
2021-08-23,1093713.1403346064
2021-08-24,1097402.4966956037
2021-08-25,1100190.338469865
2021-08-26,1104366.9555744198
2021-08-27,1094210.8465936105
2021-08-30,1102226.062320726
2021-08-31,1106263.1735250326
2021-09-01,1108604.55080558
2021-09-02,1112982.0336721002
2021-09-03,1118358.908091591
2021-09-07,1125426.8708168264
2021-09-08,1139118.7158164913
2021-09-09,1129674.2361861868
2021-09-10,1126386.469873411
2021-09-13,1122158.9913188005
2021-09-14,1123258.3002111427
2021-09-15,1139803.4762087238
2021-09-16,1144914.521316601
2021-09-17,1149688.212425088
2021-09-20,1146142.8502459533
2021-09-21,1147964.9405579432
2021-09-22,1149880.04478695
2021-09-23,1137730.343867782
2021-09-24,1132403.8986560735
2021-09-27,1134717.0397406067
2021-09-28,1112047.3329575737
2021-09-29,1132605.207789987
2021-09-30,1112282.184066567
2021-10-01,1107898.1289990903
2021-10-04,1122598.3490585173
2021-10-05,1114852.010755011
2021-10-06,1136591.405759094
2021-10-07,1157779.5110828513
2021-10-08,1164957.8519809318
2021-10-11,1155701.5321651222
2021-10-12,1168647.96226581
2021-10-13,1160209.1381901766
2021-10-14,1141823.4659425518
2021-10-15,1163739.1833417902
2021-10-18,1145377.9035095186
2021-10-19,1135051.6793572735
2021-10-20,1124094.9220001458
2021-10-21,1140194.9784951066
2021-10-22,1153128.6862720554
2021-10-25,1156882.498039838
2021-10-26,1171999.970081098
2021-10-27,1169843.539044629
2021-10-28,1171955.324717327
2021-10-29,1173924.182990176
2021-11-01,1172417.799346895
2021-11-02,1175555.616197343
2021-11-03,1165639.805087055
2021-11-04,1141506.9314115103
2021-11-05,1130295.998357139
2021-11-08,1130852.1662256669
2021-11-09,1130809.6351300078
2021-11-10,1142608.151507187
2021-11-11,1145710.1617380069
2021-11-12,1127007.9107845211
2021-11-15,1124841.775399688
2021-11-16,1105247.7122753018
2021-11-17,1100381.713745896
2021-11-18,1095429.4921405637
2021-11-19,1087026.2789339027
2021-11-22,1081078.0504053407
2021-11-23,1066415.5879672489
2021-11-24,1064081.3164953701
2021-11-26,1058922.1095727524
2021-11-29,1089189.8000203716
2021-11-30,1113743.651656224
2021-12-01,1112668.6208323734
2021-12-02,1121257.0168682018
2021-12-03,1102913.5590002476
2021-12-06,1104951.6238682484
2021-12-07,1104422.567973426
2021-12-08,1117480.6694617087
2021-12-09,1136373.3133132593
2021-12-10,1109940.7011833554
2021-12-13,1084166.0303612258
2021-12-14,1080966.5296238847
2021-12-15,1099108.7445500495
2021-12-16,1110889.5503165342
2021-12-17,1087535.4422131889
2021-12-20,1072264.5394637764
2021-12-21,1064797.4277450552
2021-12-22,1039841.0389746529
2021-12-23,1062287.4851693683
2021-12-27,1080356.9587421336
2021-12-28,1074369.2105673552
2021-12-29,1061636.0749341147
2021-12-30,1083195.5030219832
2021-12-31,1082845.81164364
2022-01-03,1078364.153658925
2022-01-04,1053493.5167603954
2022-01-05,1048184.4993004372
2022-01-06,1069948.5659801103
2022-01-07,1067740.9892701486
2022-01-10,1050396.0451608526
2022-01-11,1039807.255103979
2022-01-12,1065824.00944494
2022-01-13,1090606.4844173298
2022-01-14,1099909.0115148893
2022-01-18,1115897.189156649
2022-01-19,1115650.2310002828
2022-01-20,1126598.5222406602
2022-01-21,1103328.0420502173
2022-01-24,1125690.896299629
2022-01-25,1129122.35702625
2022-01-26,1141600.6734222397
2022-01-27,1164934.7215156737
2022-01-28,1161827.855269833
2022-01-31,1154623.1522853207
2022-02-01,1163457.9092239412
2022-02-02,1170323.403229368
2022-02-03,1159761.6930494711
2022-02-04,1157195.7034040412
2022-02-07,1164836.8484261374
2022-02-08,1155629.602540234
2022-02-09,1132052.1786595965
2022-02-10,1128557.9329031613
2022-02-11,1137571.6051013323
2022-02-14,1127472.4638962892
2022-02-15,1120684.662045411
2022-02-16,1136392.5037597078
2022-02-17,1138503.2957551708
2022-02-18,1119868.565388318
2022-02-22,1095017.3742532872
2022-02-23,1101979.9406227185
2022-02-24,1072101.0280243012
2022-02-25,1069570.0816238662
2022-02-28,1098125.2767043419
2022-03-01,1056288.3264344994
2022-03-02,1062225.0873039195
2022-03-03,1061174.2404324824
2022-03-04,1099193.5221009734
2022-03-07,1060921.0340233943
2022-03-08,1048734.9433647299
2022-03-09,1015701.5862829951
2022-03-10,1021024.5045271928
