universe,screen_rule,symbol,selection_count,mean_rank
liquid_us_equity_100,cluster_capped_momentum_63_top10,AMAT,12,4.0
liquid_us_equity_100,cluster_capped_momentum_63_top10,AAPL,12,4.583333333333333
liquid_us_equity_100,cluster_capped_momentum_63_top10,AVGO,12,5.333333333333333
liquid_us_equity_100,cluster_capped_momentum_63_top10,ABBV,12,6.666666666666667
liquid_us_equity_100,cluster_capped_momentum_63_top10,AMD,11,3.0
liquid_us_equity_100,cluster_capped_momentum_63_top10,ADBE,11,5.545454545454546
liquid_us_equity_100,cluster_capped_momentum_63_top10,COF,10,4.5
liquid_us_equity_100,cluster_capped_momentum_63_top10,COP,10,4.6
liquid_us_equity_100,cluster_capped_momentum_63_top10,AMZN,10,5.6
liquid_us_equity_100,cluster_capped_momentum_63_top10,CAT,10,5.8
liquid_us_equity_100,cluster_capped_momentum_63_top10,AXP,10,6.1
liquid_us_equity_100,cluster_capped_momentum_63_top10,AMT,9,4.666666666666667
liquid_us_equity_100,cluster_capped_momentum_63_top10,BKNG,9,5.666666666666667
liquid_us_equity_100,cluster_capped_momentum_63_top10,BA,8,5.625
liquid_us_equity_100,cluster_capped_momentum_63_top10,AMGN,8,6.0
liquid_us_equity_100,cluster_capped_momentum_63_top10,ACN,8,6.625
liquid_us_equity_100,cluster_capped_momentum_63_top10,BRK-B,8,7.25
liquid_us_equity_100,cluster_capped_momentum_63_top10,CMCSA,8,7.375
liquid_us_equity_100,cluster_capped_momentum_63_top10,C,7,5.142857142857143
liquid_us_equity_100,cluster_capped_momentum_63_top10,BK,7,8.571428571428571
liquid_us_equity_100,cluster_capped_momentum_63_top10,BAC,6,5.0
liquid_us_equity_100,cluster_capped_momentum_63_top10,ABT,6,6.333333333333333
liquid_us_equity_100,cluster_capped_momentum_63_top10,BLK,6,6.833333333333333
liquid_us_equity_100,cluster_capped_momentum_63_top10,BMY,5,3.6
liquid_us_equity_100,cluster_capped_momentum_63_top10,CL,5,4.8
liquid_us_equity_100,low_volatility_63_top10,BRK-B,22,2.3636363636363638
liquid_us_equity_100,low_volatility_63_top10,CL,22,2.590909090909091
liquid_us_equity_100,low_volatility_63_top10,ABT,20,6.35
liquid_us_equity_100,low_volatility_63_top10,BMY,18,4.5
liquid_us_equity_100,low_volatility_63_top10,AMGN,18,5.888888888888889
liquid_us_equity_100,low_volatility_63_top10,ABBV,16,4.5625
liquid_us_equity_100,low_volatility_63_top10,ACN,15,5.2
liquid_us_equity_100,low_volatility_63_top10,CMCSA,14,6.714285714285714
liquid_us_equity_100,low_volatility_63_top10,AMT,13,6.230769230769231
liquid_us_equity_100,low_volatility_63_top10,BLK,12,7.583333333333333
liquid_us_equity_100,low_volatility_63_top10,BK,9,6.222222222222222
liquid_us_equity_100,low_volatility_63_top10,AXP,8,6.5
liquid_us_equity_100,low_volatility_63_top10,AAPL,8,7.125
liquid_us_equity_100,low_volatility_63_top10,AMZN,5,5.8
liquid_us_equity_100,low_volatility_63_top10,C,5,9.0
liquid_us_equity_100,low_volatility_63_top10,CAT,4,9.5
liquid_us_equity_100,low_volatility_63_top10,BAC,3,9.0
liquid_us_equity_100,low_volatility_63_top10,AVGO,2,6.5
liquid_us_equity_100,low_volatility_63_top10,ADBE,2,9.0
liquid_us_equity_100,low_volatility_63_top10,BKNG,2,9.5
liquid_us_equity_100,low_volatility_63_top10,COF,1,7.0
liquid_us_equity_100,low_volatility_63_top10,COP,1,9.0
liquid_us_equity_100,momentum_21_top10,AVGO,16,5.5
liquid_us_equity_100,momentum_21_top10,ABBV,13,4.769230769230769
liquid_us_equity_100,momentum_21_top10,CAT,13,5.0
liquid_us_equity_100,momentum_21_top10,AMGN,12,5.25
liquid_us_equity_100,momentum_21_top10,AMT,12,6.416666666666667
liquid_us_equity_100,momentum_21_top10,ABT,11,6.2727272727272725
liquid_us_equity_100,momentum_21_top10,AAPL,10,3.3
liquid_us_equity_100,momentum_21_top10,BKNG,10,5.4
liquid_us_equity_100,momentum_21_top10,BMY,10,5.4
liquid_us_equity_100,momentum_21_top10,ADBE,9,4.111111111111111
liquid_us_equity_100,momentum_21_top10,ACN,9,6.666666666666667
liquid_us_equity_100,momentum_21_top10,CL,9,6.666666666666667
liquid_us_equity_100,momentum_21_top10,AMZN,8,3.25
liquid_us_equity_100,momentum_21_top10,AMAT,8,4.875
liquid_us_equity_100,momentum_21_top10,C,7,4.428571428571429
liquid_us_equity_100,momentum_21_top10,BA,7,5.142857142857143
liquid_us_equity_100,momentum_21_top10,COP,7,5.285714285714286
liquid_us_equity_100,momentum_21_top10,CMCSA,7,7.0
liquid_us_equity_100,momentum_21_top10,BK,7,7.857142857142857
liquid_us_equity_100,momentum_21_top10,AXP,7,8.428571428571429
liquid_us_equity_100,momentum_21_top10,AMD,6,2.1666666666666665
liquid_us_equity_100,momentum_21_top10,BAC,6,7.0
liquid_us_equity_100,momentum_21_top10,BLK,6,8.0
liquid_us_equity_100,momentum_21_top10,COF,5,3.6
liquid_us_equity_100,momentum_21_top10,BRK-B,5,7.0
liquid_us_equity_100,momentum_63_top10,AMAT,12,4.0
liquid_us_equity_100,momentum_63_top10,AAPL,12,4.583333333333333
liquid_us_equity_100,momentum_63_top10,AVGO,12,5.333333333333333
liquid_us_equity_100,momentum_63_top10,AMD,11,3.0
liquid_us_equity_100,momentum_63_top10,ADBE,11,5.545454545454546
liquid_us_equity_100,momentum_63_top10,ABBV,11,6.363636363636363
liquid_us_equity_100,momentum_63_top10,COF,10,4.5
liquid_us_equity_100,momentum_63_top10,COP,10,4.7
liquid_us_equity_100,momentum_63_top10,AMZN,10,5.6
liquid_us_equity_100,momentum_63_top10,CAT,10,5.9
liquid_us_equity_100,momentum_63_top10,AXP,10,6.1
liquid_us_equity_100,momentum_63_top10,AMT,9,4.666666666666667
liquid_us_equity_100,momentum_63_top10,BKNG,9,5.666666666666667
liquid_us_equity_100,momentum_63_top10,BA,8,5.625
liquid_us_equity_100,momentum_63_top10,AMGN,8,6.0
liquid_us_equity_100,momentum_63_top10,ACN,8,6.625
liquid_us_equity_100,momentum_63_top10,BRK-B,8,7.25
liquid_us_equity_100,momentum_63_top10,CMCSA,8,7.375
liquid_us_equity_100,momentum_63_top10,BK,8,8.5
liquid_us_equity_100,momentum_63_top10,C,7,5.142857142857143
liquid_us_equity_100,momentum_63_top10,BAC,6,5.0
liquid_us_equity_100,momentum_63_top10,ABT,6,6.333333333333333
liquid_us_equity_100,momentum_63_top10,BLK,6,6.833333333333333
liquid_us_equity_100,momentum_63_top10,BMY,5,3.6
liquid_us_equity_100,momentum_63_top10,CL,5,4.8
liquid_us_equity_100,vol_adjusted_momentum_63_top10,AAPL,13,5.230769230769231
liquid_us_equity_100,vol_adjusted_momentum_63_top10,ABBV,12,4.75
liquid_us_equity_100,vol_adjusted_momentum_63_top10,ADBE,12,6.5
liquid_us_equity_100,vol_adjusted_momentum_63_top10,AMAT,11,5.090909090909091
liquid_us_equity_100,vol_adjusted_momentum_63_top10,AVGO,11,5.181818181818182
liquid_us_equity_100,vol_adjusted_momentum_63_top10,CL,10,5.2
liquid_us_equity_100,vol_adjusted_momentum_63_top10,BRK-B,10,5.4
liquid_us_equity_100,vol_adjusted_momentum_63_top10,AXP,10,5.6
liquid_us_equity_100,vol_adjusted_momentum_63_top10,ACN,10,5.9
liquid_us_equity_100,vol_adjusted_momentum_63_top10,AMGN,10,6.1
liquid_us_equity_100,vol_adjusted_momentum_63_top10,COF,10,6.6
liquid_us_equity_100,vol_adjusted_momentum_63_top10,AMT,9,3.6666666666666665
liquid_us_equity_100,vol_adjusted_momentum_63_top10,CAT,9,5.222222222222222
liquid_us_equity_100,vol_adjusted_momentum_63_top10,CMCSA,9,6.111111111111111
liquid_us_equity_100,vol_adjusted_momentum_63_top10,COP,8,4.375
liquid_us_equity_100,vol_adjusted_momentum_63_top10,AMD,8,5.375
liquid_us_equity_100,vol_adjusted_momentum_63_top10,BLK,8,6.125
liquid_us_equity_100,vol_adjusted_momentum_63_top10,ABT,8,6.375
liquid_us_equity_100,vol_adjusted_momentum_63_top10,AMZN,7,3.857142857142857
liquid_us_equity_100,vol_adjusted_momentum_63_top10,BKNG,7,5.571428571428571
liquid_us_equity_100,vol_adjusted_momentum_63_top10,BK,7,8.0
liquid_us_equity_100,vol_adjusted_momentum_63_top10,C,6,5.5
liquid_us_equity_100,vol_adjusted_momentum_63_top10,BAC,6,6.166666666666667
liquid_us_equity_100,vol_adjusted_momentum_63_top10,BA,5,6.0
liquid_us_equity_100,vol_adjusted_momentum_63_top10,BMY,4,2.75
liquid_us_equity_250,cluster_capped_momentum_63_top10,AAPL,6,5.666666666666667
liquid_us_equity_250,cluster_capped_momentum_63_top10,AMAT,6,6.333333333333333
liquid_us_equity_250,cluster_capped_momentum_63_top10,AMD,5,2.0
liquid_us_equity_250,cluster_capped_momentum_63_top10,ABBV,5,5.2
liquid_us_equity_250,cluster_capped_momentum_63_top10,AMZN,5,5.2
liquid_us_equity_250,cluster_capped_momentum_63_top10,AMGN,5,5.4
liquid_us_equity_250,cluster_capped_momentum_63_top10,AFL,5,7.6
liquid_us_equity_250,cluster_capped_momentum_63_top10,APH,5,8.0
liquid_us_equity_250,cluster_capped_momentum_63_top10,APA,4,1.25
liquid_us_equity_250,cluster_capped_momentum_63_top10,APO,4,5.25
liquid_us_equity_250,cluster_capped_momentum_63_top10,APD,4,5.75
liquid_us_equity_250,cluster_capped_momentum_63_top10,ABNB,4,6.0
liquid_us_equity_250,cluster_capped_momentum_63_top10,ADI,4,6.75
