universe,screen_rule,split_id,as_of_date,symbol,rank,score,lookback_start,lookback_end
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,ALB,1,0.16537718793824863,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,AJG,2,0.16485711721184293,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,AZO,3,0.16007124006349738,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,ABNB,4,0.1560288852732965,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,ADM,5,0.15138665924448858,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,APD,6,0.14251042051801566,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,T,7,0.13138651560878922,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,ALL,8,0.12901159304830223,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,AES,9,0.1256906949526293,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,0,2022-04-12,APP,10,0.12440407802835662,2022-03-14,2022-04-12
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,AAPL,1,0.12579602174843552,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,ABBV,2,0.08913483056809834,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,ANET,3,0.07612121202079125,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,AMT,4,0.0750264004572212,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,AJG,5,0.0736246648916703,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,AZO,6,0.0733621086928462,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,AMZN,7,0.06713609730300485,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,AON,8,0.061075307924926436,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,AES,9,0.0599172891649451,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,1,2022-07-14,GOOG,10,0.04269893779124945,2022-06-13,2022-07-14
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,AMGN,1,0.08630879783193368,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,ALL,2,0.07009960264592885,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,MO,3,0.06471556466254813,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,AZO,4,0.05033290811914015,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,APA,5,0.04193298974234683,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,AXON,6,0.01566712088297395,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,ABBV,7,0.01046709976264526,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,ADM,8,-0.003705925058900883,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,ACGL,9,-0.03166845493928172,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,2,2022-10-12,AON,10,-0.0358046087046463,2022-09-13,2022-10-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,ALGN,1,0.20804065672027172,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,BKR,2,0.11900530201403536,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,AXON,3,0.09187974274653143,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,ARES,4,0.08863029448278059,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,AMT,5,0.08365091609002495,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,AVY,6,0.07509767989719385,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,APO,7,0.06820697107202478,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,BALL,8,0.06623124697670035,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,ALL,9,0.06396019255341145,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,3,2023-01-12,APTV,10,0.0578503540035864,2022-12-12,2023-01-12
liquid_us_equity_500,momentum_21_top10,4,2023-04-14,APA,1,0.27238708022410285,2023-03-15,2023-04-14
liquid_us_equity_500,momentum_21_top10,4,2023-04-14,APP,2,0.21192046566814615,2023-03-15,2023-04-14
liquid_us_equity_500,momentum_21_top10,4,2023-04-14,AKAM,3,0.14748401793554566,2023-03-15,2023-04-14
liquid_us_equity_500,momentum_21_top10,4,2023-04-14,ACN,4,0.13883323142591464,2023-03-15,2023-04-14
liquid_us_equity_500,momentum_21_top10,4,2023-04-14,ADBE,5,0.13719619178369902,2023-03-15,2023-04-14
liquid_us_equity_500,momentum_21_top10,4,2023-04-14,AON,6,0.13514086153327298,2023-03-15,2023-04-14
liquid_us_equity_500,momentum_21_top10,4,2023-04-14,GOOG,7,0.13371306709904562,2023-03-15,2023-04-14
liquid_us_equity_500,momentum_21_top10,4,2023-04-14,GOOGL,8,0.13276445532107362,2023-03-15,2023-04-14
