universe,screen_rule,holding_budget,controller,split_id,cost_bps,train_start,train_end,validation_end,evaluation_start,evaluation_end,selected_symbols,turnover,ann_return,ann_vol,sharpe,max_dd,calmar,source_path
liquid_us_equity_100,momentum_21_top10,10,EW,0,0.0,2018-01-02,2019-01-02,2019-04-03,2019-04-04,2019-07-03,AVGO BMY ABBV CAT AMT ABT AMGN COP BA CL,1.0000333894311098e-12,0.0069434709263305,0.1251052188357001,0.0555010493638465,-0.0714935587817221,0.0971202307529912,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,0,10.0,2018-01-02,2019-01-02,2019-04-03,2019-04-04,2019-07-03,AVGO BMY ABBV CAT AMT ABT AMGN COP BA CL,1.0000333894311098e-12,0.0069434709263305,0.1251052188357001,0.0555010493638465,-0.0714935587817221,0.0971202307529912,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,0,25.0,2018-01-02,2019-01-02,2019-04-03,2019-04-04,2019-07-03,AVGO BMY ABBV CAT AMT ABT AMGN COP BA CL,1.0000333894311098e-12,0.0069434709263314,0.1251052188357001,0.0555010493638536,-0.071493558781722,0.0971202307530038,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,1,0.0,2018-01-02,2019-04-03,2019-07-03,2019-07-05,2019-10-02,AMD AAPL AVGO AMAT ACN AMZN AMT ADBE ABBV CMCSA,1.0000333894311098e-12,-0.0425047696904847,0.1990946352464308,-0.21349028133109,-0.0831098825929566,-0.5114285854324567,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,1,10.0,2018-01-02,2019-04-03,2019-07-03,2019-07-05,2019-10-02,AMD AAPL AVGO AMAT ACN AMZN AMT ADBE ABBV CMCSA,1.0000333894311098e-12,-0.0425047696904861,0.1990946352464309,-0.2134902813310966,-0.0831098825929568,-0.5114285854324714,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,1,25.0,2018-01-02,2019-04-03,2019-07-03,2019-07-05,2019-10-02,AMD AAPL AVGO AMAT ACN AMZN AMT ADBE ABBV CMCSA,1.0000333894311098e-12,-0.0425047696904825,0.1990946352464308,-0.2134902813310789,-0.0831098825929564,-0.5114285854324306,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,2,0.0,2018-01-02,2019-07-03,2019-10-02,2019-10-03,2020-01-02,AAPL ADBE AMZN CAT ABT AMAT BLK BKNG AVGO AXP,1.0000333894311098e-12,0.7340764216659954,0.1301798105662485,5.638942155986505,-0.027618461961211,26.579192667223616,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,2,10.0,2018-01-02,2019-07-03,2019-10-02,2019-10-03,2020-01-02,AAPL ADBE AMZN CAT ABT AMAT BLK BKNG AVGO AXP,1.0000333894311098e-12,0.7340764216659963,0.1301798105662485,5.638942155986513,-0.027618461961211,26.579192667223648,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,2,25.0,2018-01-02,2019-07-03,2019-10-02,2019-10-03,2020-01-02,AAPL ADBE AMZN CAT ABT AMAT BLK BKNG AVGO AXP,1.0000333894311098e-12,0.7340764216659958,0.1301798105662485,5.638942155986508,-0.027618461961211,26.57919266722363,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,3,0.0,2018-01-02,2019-10-02,2020-01-02,2020-01-03,2020-04-02,ABBV AAPL C AMAT BA BAC CAT BMY BK COP,1.0000333894311098e-12,-1.4110181908850676,0.7068761471999557,-1.996132132159686,-0.4491631729839874,-3.141437846535626,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,3,10.0,2018-01-02,2019-10-02,2020-01-02,2020-01-03,2020-04-02,ABBV AAPL C AMAT BA BAC CAT BMY BK COP,1.0000333894311098e-12,-1.4110181908850663,0.7068761471999556,-1.9961321321596843,-0.4491631729839874,-3.1414378465356227,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
liquid_us_equity_100,momentum_21_top10,10,EW,3,25.0,2018-01-02,2019-10-02,2020-01-02,2020-01-03,2020-04-02,ABBV AAPL C AMAT BA BAC CAT BMY BK COP,1.0000333894311098e-12,-1.4110181908850663,0.7068761471999557,-1.996132132159684,-0.4491631729839875,-3.141437846535622,metrics/screened_candidate_pilot/liquid_us_equity_100/subperiod_summary.csv
